uid,text_info
100345,1973 Julie Heldman (US) d. Fiorella Bonicelli (Uru) 6-3 6-1
100346,1974 Raquel Giscafré d. Beatriz Araujo 7-6 1-6 6-2
100347,1975 Raquel Giscafré d. Kristien Kemmer Shaw (US) 6-2 6-4
100348,1976 Laura DuPont (US) d. Beatriz Araujo 6-1 6-2
100349,1977 Patricia Medrado (Bra) d. Ivanna Madruga 6-1 3-6 6-4
100350,1979 Ivanna Madruga d. Hana Strachanova (Tch) 6-1 6-3
100351,1980 Ivanna Madruga d. Liliana Giussani 6-3 2-6 6-2
100352,1982 Liliana Giussani d. Andrea Tiezzi 6-1 7-5
100353,1983 Ivanna Madruga d. Viviana Gonzalez-Locicero 6-4 6-3
100354,1984 Gabriela Sabatini d. Laura Arraya 6-0 6-3
100355,1986 Gabriela Sabatini d. Arantxa Sanchez-Vicario (Esp) 6-1 6-1
100356,1987 Gabriela Sabatini d. Isabel Cueto (Frg) 6-0 6-3
100357,1916 [Phoenix] Marguerite Chesney d. Marion? Allison 6-4 6-8 6-2
100358,1917 [Tucson] Marguerite Chesney d. Helen Ballard
100359,1918 Marguerite Chesney
100360,1919 [Tucson] Marguerite Chesney
100361,1920 Marguerite Chesney
100362,1921 [Warren] Grace Kissinger d. Miss Core 6-1 6-4
100363,1926 Marguerite Chesney
100364,1927 Marguerite Chesney
100365,1931 Marguerite Chesney
100366,1934 [Phoenix] Beatrice Liddell d. Lorette Cooper 6-3 6-1
100367,1936 [Phoenix] Evelyn Tomlinson d. Lorette Cooper 1-6 8-6 6-4
100368,1937 [Phoenix] Laura Morgan d. Evelyn Tomlinson 6-2 8-6
100369,1938 [Phoenix] Beatrice Liddell d. Mary-Lou Johnston 6-2 6-2
100370,1944 [Tucson] Margaret Varner d. Audrey Barnard 6-2 6-2
100371,1949 [] Jean Doyle d. Gladys Medalie Heldman 6-1 6-4
100372,1956 [Tucson] Karen Hantze d. Shirley Brockman 6-2 0-6 6-2
100373,1959 [Tucson] Vicki Palmer d. Barbara Green 6-2 4-6 6-2
100374,1960 [Tucson] Vicki Palmer d. Nancy Pennies 6-2 6-0
100375,1961 [] Nancy Armor Neeld d. Nancy Pennies 6-2 6-0
100376,1962 [Tucson] Lynn Haines d. Georgiana Shoemaker 6-3 6-2
100377,1963 [] Laurie Callaway d. Lynn Haines 6-8 6-2 6-2
100378,1964 [Phoenix] Laurie Callaway d. Dot Clayton 14-12 6-2
100379,1965 [Phoenix] Vicky Palmer Heinicke d. Laurie Callaway 6-4 4-6 6-4
100380,1968 [Tucson] Peggy Michel d. Carol Gay 6-4 6-1
100381,1925 Dorothy Holman d. Aurea Farrington Edgington 6-4 6-2
100382,1926 Evelyn Colyer d. Aurea Farrington Edgington 6-4 6-3
100383,1927 Joan Ridley d. Ermyntrude Harvey 6-4 6-4
100384,1928 Joan Ridley d. Cristobel Hardie 6-3 6-3
100385,1929 Joan Ridley d. Effie Hemmant 6-3 6-3
100386,1930 Joan Ridley d. Elsie Goldsack Pittman 6-3 6-4
100387,1932 Helen Foster Dyson d. Miss Soames 6-1 6-3
100388,1933 Helen Foster Dyson d. Alexandra McOstrich 3-6 7-5 7-5
100389,1934 Elsie Goldsack Pittman d. Joan Ingram 6-2 6-3
100390,1935 Jeanette Morfey d. Jean Saunders 6-4 1-6 6-2
